City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
601,Swan Hill,AU,73.06,clear sky,-35.3378,143.5544,Lazy River Motor Inn
605,Anajatuba,BR,74.35,overcast clouds,-3.2644,-44.6197,Pousada Por do Sol
610,Paddaya,PH,75.52,overcast clouds,18.3184,121.7551,Villa Chriskadoma
615,Panaba,MX,79.48,overcast clouds,21.2833,-88.2667,Hotel California
621,San Felipe,VE,71.42,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
622,Mudgee,AU,71.78,clear sky,-32.5943,149.5871,Parklands Resort & Conference Centre
629,Kuntaur,GM,75.25,clear sky,13.6667,-14.8833,Kairoh Garden Kuntaur
630,Goure,NE,77.22,scattered clouds,13.9835,10.2704,
635,Nioro,GM,72.21,clear sky,13.35,-15.75,
643,Estefania,PH,74.91,overcast clouds,17.7976,121.7253,Good Samaritan Travelers' Inn
645,Korhogo,CI,79.18,broken clouds,9.45,-5.6333,Hôtel Tchinbota
647,Harper,LR,79.74,overcast clouds,4.375,-7.7169,Screensaver
648,Kiama,AU,78.58,overcast clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
663,Sinnamary,GF,77.29,light rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
675,Carutapera,BR,76.51,overcast clouds,-1.195,-46.02,Lidera
