City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Plettenberg Bay,ZA,2022-04-01 17:37:36,-34.0527,23.3716,61.25,78,66,3.36
145,Adrar,MR,2022-04-01 17:37:37,20.5022,-10.0711,89.04,8,0,4.23
146,Saint-Francois,FR,2022-04-01 17:37:38,46.4154,3.9054,36.68,86,75,20.71
147,Nikolayevka,RU,2022-04-01 17:37:40,53.1257,47.2041,40.26,99,100,7.45
148,Kamaishi,JP,2022-04-01 17:37:41,39.2667,141.8833,33.71,61,10,6.98
149,Numan,NG,2022-04-01 17:37:43,9.4667,12.0333,93.51,8,67,0.98
150,Nosy Varika,MG,2022-04-01 17:37:45,-20.5833,48.5333,73.8,79,2,4.81
151,Noumea,NC,2022-04-01 17:37:46,-22.2763,166.4572,81.0,99,50,4.36
152,Maragogi,BR,2022-04-01 17:37:47,-9.0122,-35.2225,82.45,69,95,9.13
153,Oussouye,SN,2022-04-01 17:37:48,12.485,-16.5469,95.18,45,31,12.59
154,Lethem,GY,2022-04-01 17:37:49,3.3803,-59.7968,95.23,33,25,10.0
155,Rawson,AR,2022-04-01 17:37:51,-43.3002,-65.1023,78.73,15,76,19.22
156,Cidreira,BR,2022-04-01 17:37:51,-30.1811,-50.2056,66.42,57,72,7.99
157,San Cristobal,VE,2022-04-01 17:33:26,7.7669,-72.225,82.58,37,92,7.99
158,Saint-Philippe,RE,2022-04-01 17:37:54,-21.3585,55.7679,76.59,90,100,19.55
159,Lahat,ID,2022-04-01 17:37:55,-3.8,103.5333,72.03,96,61,2.73
160,Champerico,GT,2022-04-01 17:37:56,14.3,-91.9167,91.94,58,0,10.18
161,Kavieng,PG,2022-04-01 17:37:57,-2.5744,150.7967,81.27,79,100,9.42
162,Vila Do Maio,CV,2022-04-01 17:37:58,15.1333,-23.2167,81.39,80,5,16.98
163,Taitung,TW,2022-04-01 17:38:00,22.7583,121.1444,64.67,72,75,9.22
164,Vila Franca Do Campo,PT,2022-04-01 17:38:01,37.7167,-25.4333,63.01,90,100,18.72
165,Korla,CN,2022-04-01 17:38:03,41.7597,86.1469,52.25,37,0,3.0
166,Nago,JP,2022-04-01 17:38:04,26.5881,127.9761,65.25,80,91,13.56
167,Waingapu,ID,2022-04-01 17:38:05,-9.6567,120.2641,77.31,84,2,3.36
